name,detail_slug,website_url,detail_url,description,last_seen_at
ARDENA,ardena,https://www.ardena.com,https://lifecooperative.nl/en/members/ardena,"Ardena Assen is an independent contract bioanalytical laboratory since 1969, located in Assen, in the northern part of the Netherlands. Ardena Assen is specialized in the analysis of endogenous and exogenous compounds in biological matrices derived from humans and animals. Ardena Assen offers its services to the pharmaceutical industry and veterinary industry. It is active in all phases of pharmaceutical development and is a Good Laboratory Pratices (GLP) compliant laboratory, inspected by the Dutch authorities on a regular bases. Ardena Assen possesses the most advanced analysis techniques for both chromatographic assays and immunochemistry assays.",2026-08-16T07:22:09.270806+00:00
ASC Academics,asc-academics,https://www.ascacademics.com/,https://lifecooperative.nl/en/members/asc-academics,"Asc Academics is a family-run consultancy based in the Netherlands. We set out to create a vendor you always wanted. Now, a decade later, we are big enough to handle mission-critical work – and boutique enough to make it a great experience.",2026-08-16T07:22:09.270806+00:00
BD Kiestra,bd-kiestra,https://www.bd.com/nl-nl,https://lifecooperative.nl/en/members/bd-kiestra,"Kiestra is dedicated to advancing clinical microbiology through end-to-end laboratory automation, with the purpose of improving the detection, identification, and management of infectious diseases. Its mission is to empower clinical laboratories with rapid, reliable, and standardized microbiological results, supporting better clinical decision-making and improved patient outcomes through automation and digital integration. Part of Waters Corporation, Waters Advanced Diagnostics.",2026-08-16T07:22:09.270806+00:00
Bether Encapsulates,bether-encapsulates,http://www.bether-encapsulates.nl,https://lifecooperative.nl/en/members/bether-encapsulates,"In health-related industries, whether it is food, feed, pharma or biomedical, encapsulation is often used. Encapsulation means the packaging of an active ingredient, such as a drug, often at the micro- or nanoscale in order to shield it from the environment and release it at a certain place or time. Examples include the taste-masking of foul-tasting medicines or the protection of sensitive ingredients against harsh environments such as the stomach. A fundamental problem in encapsulation is to keep the active encapsulated for as long as needed without any leakage and then to release it fast and completely at the required place or time. Or, as described in a patent by Unilever: Water soluble compounds are very difficult to encapsulate, they always tend to leak out at some point in time. If encapsulation is used which passes the test of time, it becomes a problem in itself to have the encapsulated product becoming bio available once ingested. Encapsulation inside microbubbles. This means encapsulating the active within a shell of gas. This shell of gas is a perfect barrier against leakage of the active as long as the active is non-volatile (which is the case for most relevant actives). However, just like soap bubbles our microbubbles can also be made to ‘pop’ and this instantaneously and completely releases the drug. This popping can be made to happen in response to triggers such as pH, osmotic pressure, shear or ultrasound making microbubble-encapsulation a very versatile and widely applicable technology. Other advantages of the technology include the use of a very small amount of excipients (since our main excipient is gas) and the fact that the barrier and release properties of the microbubbles do not depend on physicochemical properties of the active to be encapsulated. This ensures a short time-to-market.",2026-08-16T07:22:09.270806+00:00
BioTrack,biotrack,,https://lifecooperative.nl/en/members/biotrack,"Biotrack/NL-Lab are specialized in microbioligical research. We develop tools for gutmicrobiome analyses, antibiotics susceptibility testing using our patented C-FISH technology. Our technology focuses on function and activity of micro-organisms. We work from our own, fully equipped microbiological laboratory in Leeuwarden with a BSL 2 and 3 level.",2026-08-16T07:22:09.270806+00:00
BiomACS,biomacs,http://www.biomacs.nl,https://lifecooperative.nl/en/members/biomacs,"BiomACS (Biomaterial Advanced Cell Screening) specializes in improving the interaction between the human body and implants. With our unique screening technology, we can quickly and accurately test how human cells respond to different materials, a process that traditionally takes years, but with us only takes a few days. Our expertise lies at the intersection of materials science, chemistry, cell biology, and clinical practice. Thanks to this multidisciplinary approach, we support the medical industry in developing safer, higher-performing, and more personalized medical devices. BiomACS provides screening services for manufacturers of implants such as prostheses, stents, catheters, and intraocular lenses. Our technology helps them achieve better designs faster and reduce complications such as rejection or infection. In this way, we contribute to a higher quality of life for patients worldwide. (www.biomacs.nl)",2026-08-16T07:22:09.270806+00:00
Bioprex Medical,bioprex-medical,https://bioprexmedical.com/,https://lifecooperative.nl/en/members/bioprex-medical,"Bioprex Medical develops an antimicrobial coating technology for application on medical devices and implants. The coating is based on immobilized quaternary ammonium compounds (QACs). Bacterial infections are the main risk when using medical devices and implants. Our aim is to reduce infections associated with the use of medical devices. Our proprietary coating technology efficiently kills bacteria upon contact, without being at risk to elicit bacterial resistance. We can apply our coating on PDMS and on titanium substrates, but our technology has potential for a variety of other materials. Our initial focus is on titanium orthopedic trauma materials (e.g., pins and plates) and urinary catheters (PDMS). Future applications include most indwelling medical devices.",2026-08-16T07:22:09.270806+00:00
CC Diagnostics,cc-diagnostics,https://cc-diagnostics.com,https://lifecooperative.nl/en/members/cc-diagnostics,"CC Diagnostics is a company dedicated to advancing cervical cancer detection through innovative medical technologies. Their primary product, the Methica CC Kit, utilizes PCR-based epigenetic DNA analysis to identify cervical cancer at its earliest stages. This approach has demonstrated a 97% detection rate, surpassing traditional Pap smear tests by 21% in sensitivity. In a recent clinical validation study using samples from the Dutch National Screening Program, the Methica CC Kit achieved 97% sensitivity in cancer detection without compromising specificity. This study, conducted across multiple centers, reflects real-world performance and marks a significant advancement in cervical cancer diagnostics. CC Diagnostics is headquartered in Groningen, Netherlands, and collaborates with various partners, including the University Medical Centre Groningen (UMCG) and IQ Products. Their mission is to empower women by providing optimal cervical cancer screening that is accurate, accessible, and comfortable.",2026-08-16T07:22:09.270806+00:00
CTC Netherlands,ctc-netherlands,https://ctc-netherlands.com/,https://lifecooperative.nl/en/members/ctc-netherlands,"CTC Netherlands is a clinical research unit for early phase patient studies and healthy volunteer studies with invasive procedures. Their unit in the biotech Center on the Healthy Ageing Campus has 12 beds. The proximity to UMCG enables access to the hospital’s specialists and state-of-the-art research facilities, as well as access to trial patients with various indications. The combination of a small dedicated team of experts, an innovative environment and state-of-the-art facilities enables CTC Netherlands to effectively address the specific needs of early phase patient studies, offering comprehensive support for our clients. CTC Netherlands is part of the “Center for Translational Research”, a group of complementary life science service companies, including “CTC Clinical Trials Consultants AB”, headquartered in Uppsala, Sweden.",2026-08-16T07:22:09.270806+00:00
Certe,certe,https://www.certe.nl,https://lifecooperative.nl/en/members/certe,"Certe is an organization for integrated medical diagnostics and advisory services for primary and secondary healthcare in the Northern Netherlands. Through laboratory testing, functional examinations, imaging diagnostics, and anticoagulation care, Certe provides high-quality medical diagnostics and related products and services for general practitioners, midwives, nursing home physicians, healthcare institutions, and regional hospitals. With our diagnostics and advice, we support healthcare professionals 24/7 in establishing diagnoses, ensuring the right care for their patients. Certe possesses extensive expertise, high-tech equipment in the fields of medical microbiology and clinical chemistry, and a comprehensive logistics service, ranging from medical transport to a network of blood collection locations in the region. The organization employs over 1,200 staff members.",2026-08-16T07:22:09.270806+00:00
