name,website_url,source
CC Diagnostics,https://cc-diagnostics.com,organizations-29389851-36.xlsx
Detact Diagnostics,https://detactdiagnostics.com,organizations-29389851-36.xlsx
Implican,https://implican.nl,organizations-29389851-36.xlsx
Ipsomics,https://ipsomics.com,organizations-29389851-36.xlsx
Portal Biotech,https://portalbiotech.com,organizations-29389851-36.xlsx
QDI Systems,https://qdisystems.com,organizations-29389851-36.xlsx
QPS Netherlands BV,https://qps.com,organizations-29389851-36.xlsx
Sabiad,https://sabiad.eu,organizations-29389851-36.xlsx
Sencilia,https://sencilia.nl,organizations-29389851-36.xlsx
TS Vascular,https://tsvascular.com,organizations-29389851-36.xlsx
